u	du_dxi1	du_dxi2	d2u_dxi1xi2	du_dxi3	d2u_dxi2dxi3	d2u_dxi1dxi3	d3u_dxi	Coord	Node	Element
-3.256734	0.224438	0.650200	-0.451595	0.989623	-0.091985	-0.307497	-0.811771	1	1	1
-3.256734	0.224438	0.650200	-0.451595	0.989623	-0.091985	-0.307497	-0.811771	2	1	1
-3.256734	0.224438	0.650200	-0.451595	0.989623	-0.091985	-0.307497	-0.811771	3	1	1
-3.275532	-0.196415	0.423643	-0.016071	0.724135	-0.074705	-0.039937	-0.148554	1	2	1
-3.275532	-0.196415	0.423643	-0.016071	0.724135	-0.074705	-0.039937	-0.148554	2	2	1
-3.275532	-0.196415	0.423643	-0.016071	0.724135	-0.074705	-0.039937	-0.148554	3	2	1
-2.751141	0.031128	0.348444	-0.040876	0.841768	-0.166363	-0.360448	0.195077	1	3	1
-2.751141	0.031128	0.348444	-0.040876	0.841768	-0.166363	-0.360448	0.195077	2	3	1
-2.751141	0.031128	0.348444	-0.040876	0.841768	-0.166363	-0.360448	0.195077	3	3	1
-2.843100	-0.170800	0.419221	0.053860	0.610973	-0.113528	-0.083079	0.006949	1	4	1
-2.843100	-0.170800	0.419221	0.053860	0.610973	-0.113528	-0.083079	0.006949	2	4	1
-2.843100	-0.170800	0.419221	0.053860	0.610973	-0.113528	-0.083079	0.006949	3	4	1
-2.267111	-0.278376	0.464805	-0.136689	0.989623	-0.284984	-0.571457	1.542245	1	5	1
-2.267111	-0.278376	0.464805	-0.136689	0.989623	-0.284984	-0.571457	1.542245	2	5	1
-2.267111	-0.278376	0.464805	-0.136689	0.989623	-0.284984	-0.571457	1.542245	3	5	1
-2.551397	-0.295027	0.354526	-0.061067	0.724135	-0.065246	-0.145765	0.178375	1	6	1
-2.551397	-0.295027	0.354526	-0.061067	0.724135	-0.065246	-0.145765	0.178375	2	6	1
-2.551397	-0.295027	0.354526	-0.061067	0.724135	-0.065246	-0.145765	0.178375	3	6	1
-1.909373	-0.333364	0.183651	0.122377	0.841768	-0.171933	-0.303109	0.175468	1	7	1
-1.909373	-0.333364	0.183651	0.122377	0.841768	-0.171933	-0.303109	0.175468	2	7	1
-1.909373	-0.333364	0.183651	0.122377	0.841768	-0.171933	-0.303109	0.175468	3	7	1
-2.232127	-0.294730	0.297705	0.104340	0.610973	-0.130078	-0.145728	0.088017	1	8	1
-2.232127	-0.294730	0.297705	0.104340	0.610973	-0.130078	-0.145728	0.088017	2	8	1
-2.232127	-0.294730	0.297705	0.104340	0.610973	-0.130078	-0.145728	0.088017	3	8	1
-2.751141	0.031128	0.348182	0.011165	0.841768	-0.201673	-0.360448	0.091645	1	1	2
-2.751141	0.031128	0.348182	0.011165	0.841768	-0.201673	-0.360448	0.091645	2	1	2
-2.751141	0.031128	0.348182	0.011165	0.841768	-0.201673	-0.360448	0.091645	3	1	2
-2.843100	-0.170800	0.352872	-0.044317	0.610973	-0.130013	-0.083079	0.070248	1	2	2
-2.843100	-0.170800	0.352872	-0.044317	0.610973	-0.130013	-0.083079	0.070248	2	2	2
-2.843100	-0.170800	0.352872	-0.044317	0.610973	-0.130013	-0.083079	0.070248	3	2	2
-2.487412	0.043993	0.150467	-0.047325	0.620728	-0.165534	-0.200435	0.127970	1	3	2
-2.487412	0.043993	0.150467	-0.047325	0.620728	-0.165534	-0.200435	0.127970	2	3	2
-2.487412	0.043993	0.150467	-0.047325	0.620728	-0.165534	-0.200435	0.127970	3	3	2
-2.549817	-0.196497	0.180419	-0.155522	0.520337	-0.030301	-0.009624	0.315125	1	4	2
-2.549817	-0.196497	0.180419	-0.155522	0.520337	-0.030301	-0.009624	0.315125	2	4	2
-2.549817	-0.196497	0.180419	-0.155522	0.520337	-0.030301	-0.009624	0.315125	3	4	2
-1.909373	-0.333364	0.161513	0.103395	0.841768	-0.179430	-0.303109	0.071299	1	5	2
-1.909373	-0.333364	0.161513	0.103395	0.841768	-0.179430	-0.303109	0.071299	2	5	2
-1.909373	-0.333364	0.161513	0.103395	0.841768	-0.179430	-0.303109	0.071299	3	5	2
-2.232127	-0.294730	0.224940	0.029999	0.610973	-0.123801	-0.145728	0.054975	1	6	2
-2.232127	-0.294730	0.224940	0.029999	0.610973	-0.123801	-0.145728	0.054975	2	6	2
-2.232127	-0.294730	0.224940	0.029999	0.610973	-0.123801	-0.145728	0.054975	3	6	2
-1.866684	-0.139612	0.012697	0.093040	0.620728	-0.113993	-0.155054	0.169057	1	7	2
-1.866684	-0.139612	0.012697	0.093040	0.620728	-0.113993	-0.155054	0.169057	2	7	2
-1.866684	-0.139612	0.012697	0.093040	0.620728	-0.113993	-0.155054	0.169057	3	7	2
-2.029480	-0.214338	0.151348	0.134175	0.520337	-0.027883	-0.026191	0.259398	1	8	2
-2.029480	-0.214338	0.151348	0.134175	0.520337	-0.027883	-0.026191	0.259398	2	8	2
-2.029480	-0.214338	0.151348	0.134175	0.520337	-0.027883	-0.026191	0.259398	3	8	2
-2.549817	0.043630	0.196497	0.271587	0.520337	0.009624	-0.067868	0.017741	1	1	3
-2.549817	0.043630	0.196497	0.271587	0.520337	0.009624	-0.067868	0.017741	2	1	3
-2.549817	0.043630	0.196497	0.271587	0.520337	0.009624	-0.067868	0.017741	3	1	3
-2.592371	-0.068384	0.427250	0.394838	0.491692	-0.079192	-0.039014	-0.378634	1	2	3
-2.592371	-0.068384	0.427250	0.394838	0.491692	-0.079192	-0.039014	-0.378634	2	2	3
-2.592371	-0.068384	0.427250	0.394838	0.491692	-0.079192	-0.039014	-0.378634	3	2	3
-2.487412	0.151495	-0.043993	0.040367	0.620728	0.200435	-0.143424	-0.154046	1	3	3
-2.487412	0.151495	-0.043993	0.040367	0.620728	0.200435	-0.143424	-0.154046	2	3	3
-2.487412	0.151495	-0.043993	0.040367	0.620728	0.200435	-0.143424	-0.154046	3	3	3
-2.415743	0.172716	-0.027025	0.054076	0.613745	0.219841	-0.100684	-0.605650	1	4	3
-2.415743	0.172716	-0.027025	0.054076	0.613745	0.219841	-0.100684	-0.605650	2	4	3
-2.415743	0.172716	-0.027025	0.054076	0.613745	0.219841	-0.100684	-0.605650	3	4	3
-2.029480	-0.025445	0.214338	0.304611	0.520337	0.026191	-0.069887	0.072759	1	5	3
-2.029480	-0.025445	0.214338	0.304611	0.520337	0.026191	-0.069887	0.072759	2	5	3
-2.029480	-0.025445	0.214338	0.304611	0.520337	0.026191	-0.069887	0.072759	3	5	3
-2.100680	-0.107987	0.359322	0.150815	0.491692	-0.042187	-0.040014	-0.042875	1	6	3
-2.100680	-0.107987	0.359322	0.150815	0.491692	-0.042187	-0.040014	-0.042875	2	6	3
-2.100680	-0.107987	0.359322	0.150815	0.491692	-0.042187	-0.040014	-0.042875	3	6	3
-1.866684	0.019652	0.139612	-0.002308	0.620728	0.155054	-0.122865	0.081275	1	7	3
-1.866684	0.019652	0.139612	-0.002308	0.620728	0.155054	-0.122865	0.081275	2	7	3
-1.866684	0.019652	0.139612	-0.002308	0.620728	0.155054	-0.122865	0.081275	3	7	3
-1.801998	0.094904	0.271463	0.267492	0.613745	0.378552	-0.063715	1.078638	1	8	3
-1.801998	0.094904	0.271463	0.267492	0.613745	0.378552	-0.063715	1.078638	2	8	3
-1.801998	0.094904	0.271463	0.267492	0.613745	0.378552	-0.063715	1.078638	3	8	3
-2.752848	-0.288509	0.623384	0.127084	0.439509	-0.046697	0.030496	0.088921	1	1	4
-2.752848	-0.288509	0.623384	0.127084	0.439509	-0.046697	0.030496	0.088921	2	1	4
-2.752848	-0.288509	0.623384	0.127084	0.439509	-0.046697	0.030496	0.088921	3	1	4
-3.175704	-0.513117	0.584689	-0.126725	0.499817	0.011104	0.011252	-0.066044	1	2	4
-3.175704	-0.513117	0.584689	-0.126725	0.499817	0.011104	0.011252	-0.066044	2	2	4
-3.175704	-0.513117	0.584689	-0.126725	0.499817	0.011104	0.011252	-0.066044	3	2	4
-2.204540	-0.107543	0.426072	0.109834	0.442330	0.145427	-0.015146	0.009918	1	3	4
-2.204540	-0.107543	0.426072	0.109834	0.442330	0.145427	-0.015146	0.009918	2	3	4
-2.204540	-0.107543	0.426072	0.109834	0.442330	0.145427	-0.015146	0.009918	3	3	4
-2.649461	-0.646701	0.411078	-0.165814	0.498291	0.102926	-0.057936	0.028469	1	4	4
-2.649461	-0.646701	0.411078	-0.165814	0.498291	0.102926	-0.057936	0.028469	2	4	4
-2.649461	-0.646701	0.411078	-0.165814	0.498291	0.102926	-0.057936	0.028469	3	4	4
-2.313339	-0.272621	0.574553	0.162596	0.439509	-0.050731	0.006229	-0.002544	1	5	4
-2.313339	-0.272621	0.574553	0.162596	0.439509	-0.050731	0.006229	-0.002544	2	5	4
-2.313339	-0.272621	0.574553	0.162596	0.439509	-0.050731	0.006229	-0.002544	3	5	4
-2.675886	-0.483372	0.592900	-0.148067	0.499817	0.006124	0.047314	0.032205	1	6	4
-2.675886	-0.483372	0.592900	-0.148067	0.499817	0.006124	0.047314	0.032205	2	6	4
-2.675886	-0.483372	0.592900	-0.148067	0.499817	0.006124	0.047314	0.032205	3	6	4
-1.762210	-0.130753	0.541114	0.141964	0.442330	0.084972	-0.026776	0.045116	1	7	4
-1.762210	-0.130753	0.541114	0.141964	0.442330	0.084972	-0.026776	0.045116	2	7	4
-1.762210	-0.130753	0.541114	0.141964	0.442330	0.084972	-0.026776	0.045116	3	7	4
-2.151170	-0.652425	0.493496	-0.168306	0.498291	0.064989	0.042632	-0.033751	1	8	4
-2.151170	-0.652425	0.493496	-0.168306	0.498291	0.064989	0.042632	-0.033751	2	8	4
-2.151170	-0.652425	0.493496	-0.168306	0.498291	0.064989	0.042632	-0.033751	3	8	4
-3.175704	-0.471101	0.584689	-0.537099	0.499817	0.011104	0.070079	0.151984	1	1	5
-3.175704	-0.471101	0.584689	-0.537099	0.499817	0.011104	0.070079	0.151984	2	1	5
-3.175704	-0.471101	0.584689	-0.537099	0.499817	0.011104	0.070079	0.151984	3	1	5
-3.663183	-0.487946	0.068365	-1.264199	0.530404	0.058956	-0.003805	0.283498	1	2	5
-3.663183	-0.487946	0.068365	-1.264199	0.530404	0.058956	-0.003805	0.283498	2	2	5
-3.663183	-0.487946	0.068365	-1.264199	0.530404	0.058956	-0.003805	0.283498	3	2	5
-2.649461	-0.938495	0.411078	-0.591439	0.498291	0.102926	0.218081	0.334959	1	3	5
-2.649461	-0.938495	0.411078	-0.591439	0.498291	0.102926	0.218081	0.334959	2	3	5
-2.649461	-0.938495	0.411078	-0.591439	0.498291	0.102926	0.218081	0.334959	3	3	5
-3.624605	-0.981502	0.000720	-0.054076	0.610121	0.091936	0.063511	-0.528450	1	4	5
-3.624605	-0.981502	0.000720	-0.054076	0.610121	0.091936	0.063511	-0.528450	2	4	5
-3.624605	-0.981502	0.000720	-0.054076	0.610121	0.091936	0.063511	-0.528450	3	4	5
-2.675886	-0.394476	0.592900	-0.365265	0.499817	0.006124	0.080935	0.197314	1	5	5
-2.675886	-0.394476	0.592900	-0.365265	0.499817	0.006124	0.080935	0.197314	2	5	5
-2.675886	-0.394476	0.592900	-0.365265	0.499817	0.006124	0.080935	0.197314	3	5	5
-3.132779	-0.498727	0.120817	-0.994735	0.530404	0.046927	-0.017748	0.265761	1	6	5
-3.132779	-0.498727	0.120817	-0.994735	0.530404	0.046927	-0.017748	0.265761	2	6	5
-3.132779	-0.498727	0.120817	-0.994735	0.530404	0.046927	-0.017748	0.265761	3	6	5
-2.151170	-0.708372	0.493496	-0.320299	0.498291	0.064989	0.237344	0.182745	1	7	5
-2.151170	-0.708372	0.493496	-0.320299	0.498291	0.064989	0.237344	0.182745	2	7	5
-2.151170	-0.708372	0.493496	-0.320299	0.498291	0.064989	0.237344	0.182745	3	7	5
-3.014483	-0.930074	0.119318	-0.387030	0.610121	0.153976	0.037727	-0.094578	1	8	5
-3.014483	-0.930074	0.119318	-0.387030	0.610121	0.153976	0.037727	-0.094578	2	8	5
-3.014483	-0.930074	0.119318	-0.387030	0.610121	0.153976	0.037727	-0.094578	3	8	5
-4.202169	-0.360102	0.522235	0.383617	0.449054	0.048403	-0.112245	0.145938	1	1	6
-4.202169	-0.360102	0.522235	0.383617	0.449054	0.048403	-0.112245	0.145938	2	1	6
-4.202169	-0.360102	0.522235	0.383617	0.449054	0.048403	-0.112245	0.145938	3	1	6
-4.532076	-0.397970	0.896663	0.422235	0.383425	0.153861	0.034798	-0.113541	1	2	6
-4.532076	-0.397970	0.896663	0.422235	0.383425	0.153861	0.034798	-0.113541	2	2	6
-4.532076	-0.397970	0.896663	0.422235	0.383425	0.153861	0.034798	-0.113541	3	2	6
-3.663183	0.068365	0.562323	0.747214	0.530404	0.063071	0.058956	-0.102979	1	3	6
-3.663183	0.068365	0.562323	0.747214	0.530404	0.063071	0.058956	-0.102979	2	3	6
-3.663183	0.068365	0.562323	0.747214	0.530404	0.063071	0.058956	-0.102979	3	3	6
-3.624605	0.000720	0.938148	0.430783	0.610121	0.140157	0.091936	0.174920	1	4	6
-3.624605	0.000720	0.938148	0.430783	0.610121	0.140157	0.091936	0.174920	2	4	6
-3.624605	0.000720	0.938148	0.430783	0.610121	0.140157	0.091936	0.174920	3	4	6
-3.753115	-0.477944	0.590953	0.623312	0.449054	0.087774	-0.123509	0.293340	1	5	6
-3.753115	-0.477944	0.590953	0.623312	0.449054	0.087774	-0.123509	0.293340	2	5	6
