u	du_dxi1	du_dxi2	d2u_dxi1xi2	du_dxi3	d2u_dxi2dxi3	d2u_dxi1dxi3	d3u_dxi	Coord	Node	Element
-3.256734	0.064623	0.547615	-0.181303	0.989623	-0.236016	-0.200605	0.283819	1	1	1
-1.750095	0.844783	-0.390587	0.022853	0.373546	1.040063	0.175639	-0.619357	2	1	1
0.724663	0.100489	0.547741	-0.209568	-0.510929	0.520605	0.470041	0.201517	3	1	1
-3.275532	-0.111479	0.426316	-0.065747	0.724135	-0.147673	-0.263827	0.035749	1	2	1
-0.928047	0.780189	-0.386101	-0.026807	0.434115	0.279069	-0.013806	-0.668590	2	2	1
0.938181	0.330292	0.399543	-0.077775	-0.277759	0.330978	-0.082979	-0.641247	3	2	1
-2.751141	-0.034024	0.403323	-0.018084	0.841768	-0.187628	-0.083690	0.141921	1	3	1
-1.884372	0.662777	-0.048113	-0.247793	0.196850	-0.405619	0.371895	0.078983	2	3	1
1.384212	-0.147464	0.742280	-0.250184	-0.440254	0.030903	0.634419	-0.377381	3	3	1
-2.843100	-0.152374	0.414016	0.021718	0.610973	-0.084700	-0.300422	0.035932	1	4	1
-1.217704	0.636081	-0.236518	-0.136847	0.379597	-0.232847	0.091623	0.162957	2	4	1
1.399914	0.197815	0.507911	-0.172287	-0.213393	-0.065226	-0.376089	-0.215236	3	4	1
-2.267111	-0.274056	0.451900	-0.142000	0.989623	-0.074550	-0.461940	0.084479	1	5	1
-1.376549	0.926146	-0.466894	0.056987	0.373546	-0.687844	0.154550	0.630700	2	5	1
0.213734	0.360040	0.592003	-0.205767	-0.510929	-0.305586	0.066456	-0.058536	3	5	1
-2.551397	-0.291850	0.352647	-0.050513	0.724135	0.017981	-0.053687	0.222190	1	6	1
-0.493932	0.832664	-0.422386	0.016467	0.434115	-0.362366	-0.006406	0.115774	2	6	1
0.660423	0.533193	0.447553	-0.067403	-0.277759	-0.251213	0.420990	0.251665	3	6	1
-1.909373	-0.332645	0.213065	0.075888	0.841768	-0.320357	-0.470803	-0.238381	1	7	1
